frequency,callsign,city,sp,antenna_type,erp,lat,lon,class,slogan,haat,owner,format,market
89.9,K210BQ,WOODWARD,OK,NDIR,0.075,36.402249999999995,99.47927777777778,D,YOU'RE WITH FAMILY,,"GREAT PLAINS CHRISTIAN RADIO, INC.",Contemporary Christian/Religious Teaching,
90.1,KBCC,BARTLESVILLE,OK,NDIR,0.5,36.68933333333333,96.00152777777778,A,,90.0,St. John Before the Latin Gate Parish,,
104.3,KZBS,GRANITE,OK,NDIR,1.7,34.977555555555554,99.41008333333333,C3,,277.0,BCVISION,,
88.1,K201FP,ARAPAHO,OK,NDIR,0.08,35.522,98.87258333333332,D,CSN INTERNATIONAL,,CSN INTERNATIONAL,Religious Teaching,
88.1,K201IJ,"MIAMI, ETC.",OK,NDIR,0.205,36.88283333333333,94.79633333333334,D,OASIS NETWORK,100.2,"DAVID INGLES MINISTRIES CHURCH, INC.",Religious Teaching,
88.5,K203FE,TAHLEQUAH,OK,DRL,0.115,35.98861111111111,94.9388888888889,D,MOODY RADIO,,THE MOODY BIBLE INSTITUTE OF CHICAGO,Religious Teaching,
88.5,K203FO,GUYMON,OK,NDIR,0.17,36.674166666666665,101.46972222222223,D,RADIO FOR LIFE,62.0,"GREAT PLAINS CHRISTIAN RADIO, INC.",Contemporary Christian/Religious Teaching,
88.7,K204EQ,WOODWARD,OK,NDIR,0.092,36.402249999999995,99.43011111111112,D,CSN INTERNATIONAL,,CSN INTERNATIONAL,Religious Teaching,
88.7,K204FY,FAIRVIEW,OK,NDIR,0.05,36.22363888888889,98.60230555555555,D,YOU'RE WITH FAMILY,176.4,GREAT PLAINS CHRISTIAN RADIO,Contemporary Christian/Religious Teaching,
88.7,K204GU,ENID,OK,NDIR,0.14,36.407888888888884,97.99875,D,YOU'RE WITH FAMILY,80.0,"GREAT PLAINS CHRISTIAN RADIO, INC.",Contemporary Christian/Religious Teaching,
88.9,K205FI,ARDMORE,OK,NDIR,0.17,34.16497222222222,97.17519444444444,D,K-LOVE,80.8,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,
89.1,K206CA,ENID,OK,NDIR,0.205,36.407888888888884,97.99875,D,OASIS NETWORK,,"DAVID INGLES MINISTRIES CHURCH, INC.",Religious Teaching,
89.1,K206CI,MOORELAND,OK,NDIR,0.092,36.402249999999995,99.43011111111112,D,EFFECT RADIO,,CSN INTERNATIONAL,Christian CHR + Rock,
89.3,K207DS,WISTER,OK,NDIR,0.01,35.069833333333335,94.68744444444445,D,CSN INTERNATIONAL,,CSN INTERNATIONAL,Religious Teaching,Ft. Smith
89.5,K208CG,OKLAHOMA CITY,OK,DRL,0.25,35.54922222222222,97.49697222222223,D,CSN INTERNATIONAL,,CSN INTERNATIONAL,Religious Teaching,Oklahoma City
89.5,K208FD,ELK CITY,OK,NDIR,0.037,35.45033333333333,99.4606388888889,D,EFFECT RADIO,,CSN INTERNATIONAL,Christian CHR + Rock,
89.5,K208FI,FELT,OK,NDIR,0.217,36.557805555555554,102.88936111111111,D,PRAISE & ENCOURAGEMENT,,"GREAT PLAINS CHRISTIAN RADIO, INC.",Southern Gospel,
90.1,K211FI,KEYES,OK,NDIR,0.24,36.81169444444444,102.25183333333334,D,PRAISE & ENCOURAGEMENT,56.8,"GREAT PLAINS CHRISTIAN RADIO, INC.",Southern Gospel,
90.3,K212DX,"PONCA CITY, ETC.",OK,NDIR,0.17,36.75975,97.16030555555557,D,OASIS NETWORK,106.3,"DAVID INGLES MINISTRIES CHURCH, INC.",Religious Teaching,
90.3,K212FZ,ADA,OK,NDIR,0.17,34.76425,96.69250000000001,D,K-LOVE,85.4,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,
90.5,K213EM,EDMOND,OK,NDIR,0.023,35.597833333333334,97.48975,D,RADIO U,,"SPIRIT COMMUNICATIONS, INC.",Christian Rock,Oklahoma City
90.7,K214EM,DURANT,OK,NDIR,0.05,34.03675,96.42722222222223,D,CSN INTERNATIONAL,97.5,CSN INTERNATIONAL,Religious Teaching,
90.9,K215CV,GUYMON,OK,NDIR,0.092,36.67363888888889,101.4696111111111,D,AIR1,132.8,"CHRISTIAN MINISTRIES OF THE VALLEY, INC.",Contemporary Christian,
91.1,K216BT,"MCALESTER, ETC.",OK,NDIR,0.115,34.987027777777776,95.70305555555557,D,OASIS NETWORK,108.4,DAVID INGLES MINISTRIES CHURCH INC.,Religious Teaching,
91.1,K216FR,CLINTON,OK,NDIR,0.03,35.522,98.87258333333332,D,EFFECT RADIO,,CSN INTERNATIONAL,Christian CHR + Rock,
91.5,K218ER,BERLIN,OK,NDIR,0.11,35.45033333333333,99.4606388888889,D,CSN INTERNATIONAL,,CSN INTERNATIONAL,Religious Teaching,
91.5,K218FM,SHATTUCK,OK,NDIR,0.23,36.26086111111111,99.87844444444444,D,YOU'RE WITH FAMILY,31.0,"GREAT PLAINS CHRISTIAN RADIO, INC.",Contemporary Christian/Religious Teaching,
91.7,K219CX,ATOKA,OK,NDIR,0.14,34.37258333333333,96.11305555555555,D,COVENANT NETWORK,111.0,COVENANT NETWORK,Religious Teaching,
91.9,K220FP,ELK CITY,OK,NDIR,0.14,35.45030555555556,99.46036111111111,D,AMERICAN FAMILY RADIO,112.0,AMERICAN FAMILY ASSOCIATION,Religious Teaching,
92.1,K221FQ,OKLAHOMA CITY,OK,DRL,0.099,35.56033333333333,97.48530555555556,D,HEART & SOUL 92.1 & AM 1140,,"PERRY BROADCASTING COMPANY, INC.",Urban AC,Oklahoma City
92.5,K223CG,SAND SPRINGS,OK,NDIR,0.062,36.04313888888889,95.95330555555556,D,BOTT RADIO NETWORK,,"COMMUNITY BROADCASTING, INC.",Religious Teaching,Tulsa
92.9,K225BN,OKLAHOMA CITY,OK,NDIR,0.2,35.547555555555554,97.49197222222222,D,92.9 THE EDGE,267.7,FRED R AND EVELYN K MORTON,Rock,Oklahoma City
93.1,K226BR,ENID,OK,NDIR,0.25,36.39669444444444,97.87755555555555,D,THE GOSPEL STATION,67.5,DONALD WILLIAMSON,Southern Gospel,
93.1,K226CW,STILLWATER,OK,NDIR,0.17,36.11811111111111,97.17991666666667,D,TRIPLE PLAY SPORTS RADIO,,"TEAM RADIO, L.L.C.",Sports,
93.3,K227CI,ARDMORE,OK,NDIR,0.099,34.21758333333334,97.11611111111111,D,BOTT RADIO NETWORK,60.0,"COMMUNITY BROADCASTING, INC.",Religious Teaching,
93.3,K227CQ,BARTLESVILLE,OK,NDIR,0.25,36.73452777777778,95.85497222222222,D,KWON AM 1400 FM 93.3,,"KCD ENTERPRISES, INC.",Talk,
93.3,K227DG,MUSKOGEE,OK,NDIR,0.015,35.84677777777778,95.17483333333334,D,"BILLY COUNTRY 96.3, 93.3 & 1350",,"PAYNE 5 COMMUNICATIONS, LLC",Country,
93.3,K227DK,BLACKWELL,OK,NDIR,0.25,36.783055555555556,97.07111111111111,D,TRIPLE PLAY SPORTS RADIO,,TEAM RADIO LLC,Sports,
93.3,K227DT,TULSA,OK,NDIR,0.001,36.26552777777778,95.71047222222222,D,RITMO 107.9,,TYLER MEDIA L.L.C.,Contemporary Hit Radio,Tulsa
93.3,K227DZ,ALVA,OK,NDIR,0.25,36.80758333333333,98.66575,D,YOU'RE WITH FAMILY,,"GREAT PLAINS CHRISTIAN RADIO, INC.",Contemporary Christian/Religious Teaching,
93.5,K228BR,TULSA,OK,NDIR,0.25,36.125194444444446,95.88444444444445,D,1300 THE PATRIOT,,EDUCATIONAL MEDIA FOUNDATION,Talk,Tulsa
93.7,K229CQ,BARTLESVILLE,OK,NDIR,0.115,36.73452777777778,95.85497222222222,D,BOTT RADIO NETWORK,130.1,"COMMUNITY BROADCASTING, INC.",Religious Teaching,
93.7,K229DG,LAWTON,OK,NDIR,0.25,34.59119444444445,98.35394444444444,D,93.7 HEART & SOUL,,"MOLLMAN MEDIA, INC.",Urban AC,
94.1,K231BH,OKLAHOMA CITY,OK,NDIR,0.25,35.544777777777774,97.52197222222222,D,BOTT RADIO NETWORK,77.0,"COMMUNITY BROADCASTING, INC.",Religious Teaching,Oklahoma City
94.1,K231CE,DURANT,OK,NDIR,0.25,34.03675,96.42722222222223,D,CLASSIC HITS 750 AM & 94.1 FM,102.5,"MID-CONTINENTAL BROADCASTING, LLC",Classic Hits,
94.3,K232ET,SHAWNEE,OK,NDIR,0.099,35.38227777777778,97.01586111111111,D,THE HOUSE,,"THE LOVE STATION, INC.",Christian CHR + Rock,Oklahoma City
94.3,K232FI,STILLWATER,OK,DRL,0.25,36.17977777777777,97.01086111111111,D,PETE 94.3,24.4,"STILLWATER BROADCASTING, LLC",Adult Alternative,
94.3,K232GC,MOORE,OK,DRL,0.25,35.400555555555556,97.49305555555556,D,THE HOUSE FM,,"THE LOVE STATION, INC",Christian CHR + Rock,Oklahoma City
94.5,K233AU,TULSA,OK,DRL,0.25,36.04313888888889,95.95333333333333,D,TOTALLY AWESOME 80'S,191.6,"SMG - TULSA, LLC",80'S Hits,Tulsa
94.5,K233CR,PAWHUSKA,OK,NDIR,0.25,36.628416666666666,96.19083333333333,D,THE HOUSE,87.7,"THE LOVE STATION, INC.",Christian CHR + Rock,Tulsa
94.7,K234BD,LAWTON,OK,NDIR,0.24,34.576750000000004,98.47533333333334,D,THE GOSPEL STATION,46.5,,Southern Gospel,
94.7,K234CN,BRAGGS,OK,NDIR,0.25,35.57758333333334,95.21022222222223,D,OKIE COUNTRY 101.7,,"K95.5, INC.",Country,
94.9,K235AW,ANTLERS,OK,NDIR,0.25,34.2265,95.62247222222221,D,K-95.5 FM,53.6,PAYNE MEDIA GROUP LLC,Country,
94.9,K235BK,TULSA,OK,NDIR,0.25,36.07369444444445,95.90302777777778,D,K-95 FM,,"Broken Arrow Catholic Radio, Inc.",Country,Tulsa
94.9,K235CG,PONCA CITY,OK,NDIR,0.25,36.74122222222222,97.06080555555555,D,OKLAHOMA PUBLIC RADIO,,OKLAHOMA STATE UNIVERSITY,News/Talk/Adult Alternative,
95.1,K236CT,PAWHUSKA,OK,NDIR,0.25,36.654222222222224,96.34277777777777,D,KWON AM 1400 FM 93.3,,"POTTER RADIO, LLC",Talk,Tulsa
95.3,K237GE,OKLAHOMA CITY,OK,NDIR,0.25,35.547555555555554,97.49197222222222,D,KOKC 95.3 FM 1520 AM,,"TYLER MEDIA, LLC",Talk,Oklahoma City
95.7,K239BT,THE VILLAGE,OK,DRL,0.25,35.55727777777778,97.47558333333333,D,BOTT RADIO NETWORK,210.8,BOTT BROADCASTING COMPANY,Religious Teaching,Oklahoma City
95.9,K240ED,TULSA,OK,NDIR,0.25,36.125083333333336,95.88444444444445,D,K-LOVE,,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,Tulsa
96.3,K242AA,"LAWTON, ETC.",OK,NDIR,0.25,34.60727777777778,98.46505555555555,D,OASIS NETWORK,74.0,"DAVID INGLES MINISTRIES CHURCH, INC.",Religious Teaching,
96.3,K242CK,TAHLEQUAH,OK,NDIR,0.25,35.89536111111111,94.95355555555555,D,BILLY COUNTRY 96.3 & 1350,67.5,"K95.5, INC.",Country,
96.5,K243BJ,OKLAHOMA CITY,OK,NDIR,0.25,35.415055555555554,97.50919444444445,D,EXITOS 96.5,,TYLER MEDIA L.L.C.,Oldies,Oklahoma City
96.7,K244FI,MCALESTER,OK,NDIR,0.25,34.987027777777776,95.70305555555557,D,,,McAlester Streaming Technologies LLC,Adult Standards,
96.7,K244FW,LAWTON,OK,NDIR,0.25,34.591722222222224,98.35322222222221,D,LAWTON'S HEART & SOUL,,"MOLLMAN MEDIA, INC.",Urban Contemporary,
96.9,K245BZ,TULSA,OK,NDIR,0.002,36.15175,95.97552777777778,D,RITMO 107.9,,TYLER MEDIA L.L.C.,Contemporary Hit Radio,Tulsa
96.9,K245CY,ALTUS,OK,NDIR,0.25,34.626472222222226,99.33647222222221,D,THE LEGEND,,,Country,
97.1,K246BC,WAYNOKA,OK,DRL,0.25,36.581944444444446,98.87027777777777,D,BIG COUNTRY 99.5,104.2,"FLORIDA PUBLIC RADIO, INC.",Country,
97.3,K247BA,LAWTON,OK,NDIR,0.145,34.576750000000004,98.47533333333334,D,HOT COUNTRY 97.3,46.5,"BROADCO OF TEXAS, INC.",Country,
97.3,K247CO,CLINTON,OK,NDIR,0.25,35.44533333333333,98.98897222222222,D,NEWSTALK 99.3 FM,,"WRIGHT BROADCASTING SYSTEMS, INC.",Talk,
97.7,K249EN,EL RENO,OK,NDIR,0.25,35.508361111111114,97.90030555555556,D,LA TREMENDA,,"LA TREMENDA RADIO MEXICO, INC.",Regional Mexican,Oklahoma City
97.7,K249FG,OKLAHOMA CITY,OK,DRL,0.25,35.45641666666667,97.60155555555555,D,THE CITY,,"LA TREMENDA RADIO MEXICO, INC.",Smooth Jazz,Oklahoma City
97.7,K249FH,SEMINOLE,OK,NDIR,0.25,35.24202777777778,96.63669444444444,D,TRI-CITIES BEST RADIO,,"ONE TEN BROADCAST GROUP, INC.",Country,Oklahoma City
97.9,K250AU,ADA,OK,NDIR,0.25,34.77408333333333,96.6648888888889,D,YOUR NPR SOURCE,29.9,THE UNIVERSITY OF OKLAHOMA,News/Talk/Jazz,
97.9,K250BN,TULSA,OK,DRL,0.25,36.08702777777778,95.85944444444443,D,LA DIFERENTE 97.9 FM Y 1120 AM,,RADIO LAS AMERICAS LLC,Religious,Tulsa
98.1,K251CM,WOODWARD,OK,NDIR,0.25,36.42697222222222,99.4063888888889,D,THE SPORTS ANIMAL,,"CLASSIC COMMUNICATIONS, INC.",Sports,
98.1,K251CN,ELK CITY,OK,NDIR,0.25,35.406166666666664,99.49869444444444,D,THE SPORTS ANIMAL 98.1,,"PARAGON COMMUNCATIONS, INC.",Sports,
98.3,K252FQ,MCALESTER,OK,NDIR,0.25,34.987027777777776,95.70305555555557,D,CLASSIC COUNTRY,,McAlester Streaming Technologies LLC,Country,
98.5,K253AY,NORMAN,OK,DRL,0.25,35.21783333333334,97.41058333333334,D,98.5 EL PATRON,,"THE LOVE STATION, INC.",Regional Mexican,Oklahoma City
98.5,K253BC,ENID,OK,NDIR,0.25,36.477333333333334,97.97063888888889,D,MY PRAISE FM,,,Contemporary Christian,
98.5,K253BV,OKLAHOMA CITY,OK,DRL,0.13,35.57338888888889,97.4858611111111,D,98.5 EL PATRON,,iHeartMedia,Regional Mexican,Oklahoma City
98.7,K254DQ,MADILL,OK,DRL,0.25,34.10852777777778,96.77680555555555,D,,,"NORTH TEXAS RADIO GROUP, LP",Religious Teaching,
98.9,K255BE,TULSA,OK,NDIR,0.062,36.107055555555554,95.78719444444444,D,AIR1,,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,Tulsa
98.9,K255DL,ELK CITY,OK,NDIR,0.092,35.42922222222222,99.49702777777777,D,LEGENDS 92.9,,TOP O' TEXAS EDUCATIONAL BROADCASTING FOUNDATION,Country,
99.1,K256CP,BARTLESVILLE,OK,DRL,0.25,36.628416666666666,96.19083333333333,D,THE SPORTS ANIMAL 1500AM 99.1FM,,"POTTER RADIO, LLC",Sports,Tulsa
99.1,K256CR,TULSA,OK,DRL,0.25,36.16258333333333,95.97916666666667,D,1050 THE TOUCH KGTO,,"PERRY BROADCASTING OF LAWTON, INC.",Urban AC,Tulsa
99.3,K257DA,NORMAN,OK,NDIR,0.25,35.21783333333334,97.41058333333334,D,THE REF,89.1,"Metro Radio Group, LLC",Sports,Oklahoma City
99.5,K258GZ,ALVA,OK,NDIR,0.25,36.78502777777778,98.55063888888888,D,BIG COUNTRY 99.5,,"Remember Radio, LLC",Country,
99.9,K260CR,SAPULA,OK,DRL,0.25,36.04313888888889,95.95333333333333,D,THE SPORTS ANIMAL TULSA,,"KXOJ, INC.",Sports,Tulsa
99.9,K260CV,STILLWATER,OK,NDIR,0.25,36.11838888888889,97.00197222222222,D,BOTT RADIO NETWORK,,"COMMUNITY BROADCASTING, INC.",Religious Teaching,
100.1,K261CR,CHICKASHA,OK,NDIR,0.115,35.04805555555556,97.89027777777778,D,THE GOSPEL STATION,,"SOUTH CENTRAL OKLAHOMA CHRISTIAN BROADCASTING, INC.",Southern Gospel,Oklahoma City
100.1,K261DP,OKLAHOMA CITY,OK,DRL,0.099,35.56861111111112,97.48916666666666,D,THE HOUSE FM,133.7,"THE LOVE STATION, INC.",Christian CHR + Rock,Oklahoma City
100.3,K262BW,DUNCAN,OK,NDIR,0.25,34.546749999999996,97.94197222222222,D,THE GOSPEL STATION,87.0,AVERY FOX,Southern Gospel,
100.3,K262CS,MCALESTER,OK,NDIR,0.25,34.84480555555556,95.57977777777778,D,KPOP,,HEARTBEAT OKLAHOMA LLC,Classic Hits,
100.3,K262CW,WEATHERFORD,OK,NDIR,0.25,35.55094444444444,98.73291666666667,D,COYOTE CLASSIC,,"WRIGHT BROADCASTING SYSTEMS, INC.",Country,
100.5,K263AM,TAHLEQUAH,OK,NDIR,0.17,35.93702777777777,94.95494444444445,D,AIR1,107.3,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,
100.7,K264AJ,LAWTON,OK,NDIR,0.115,34.60758333333334,98.27422222222222,D,AIR1,129.9,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,
100.7,K264BT,MUSKOGEE,OK,NDIR,0.092,35.71288888888889,95.25247222222222,D,BOTT RADIO NETWORK,,"COMMUNITY BROADCASTING, INC.",Religious Teaching,
100.9,K265DT,CHICKASHA,OK,NDIR,0.092,34.9895,98.02922222222222,D,K-LOVE,139.7,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,Oklahoma City
100.9,K265FE,SHAWNEE,OK,NDIR,0.15,35.38227777777778,97.01586111111111,D,KGFF 100.9/1450,,CITIZEN POTAWATOMI NATION,Classic Hits,Oklahoma City
100.9,K265FL,ENID,OK,NDIR,0.25,36.39808333333333,97.87797222222221,D,NEWS TALK 960 KGWA,,WILLIAMS BROADCASTING LLC,News/Talk,
101.1,K266BG,MOORE,OK,NDIR,0.25,35.36280555555556,97.44958333333334,D,CSN INTERNATIONAL,86.7,CSN INTERNATIONAL,Religious Teaching,Oklahoma City
101.3,K267CC,VINITA,OK,NDIR,0.25,36.58230555555556,95.02663888888888,D,THE SPORTS ANIMAL,,"KXOJ, INC.",Sports,
101.5,K268BR,OKLAHOMA CITY,OK,NDIR,0.099,35.400555555555556,97.49305555555556,D,THE GOSPEL STATION,169.8,"RUSSELL MINISTRIES, INC",Southern Gospel,Oklahoma City
101.5,K268DG,MUSKOGEE,OK,NDIR,0.01,35.74952777777778,95.37244444444444,D,OKIE COUNTRY 101.7,,"K95.5, INC.",Country,
101.5,K268DK,CUSHING,OK,NDIR,0.25,35.98694444444445,96.71055555555556,D,,,"OIL PATCH RADIO, INC.",Country,
101.7,K269GL,LAWTON,OK,NDIR,0.062,34.63675,98.50783333333334,D,THE HOUSE,,"THE LOVE STATION, INC.",Christian CHR + Rock,
101.9,K270BK,TULSA,OK,NDIR,0.25,36.107055555555554,95.78719444444444,D,LA Z 106.7,,TYLER MEDIA L.L.C.,Regional Mexican,Tulsa
102.1,K271CZ,HOBART,OK,NDIR,0.25,35.04922222222222,99.09702777777777,D,GREAT PLAINS COUNTRY,,"FUCHS RADIO, LLC",Country,
102.3,K272EY,CHICKASHA,OK,NDIR,0.115,34.9895,98.02922222222222,D,,121.7,CSN INTERNATIONAL,,Oklahoma City
102.3,K272FD,DEL CITY,OK,NDIR,0.215,35.387277777777776,97.49919444444444,D,BOTT RADIO NETWORK,,BOTT BROADCASTING COMPANY,Religious Teaching,Oklahoma City
102.3,K272FW,ADA,OK,NDIR,0.25,34.785,96.67916666666667,D,PIRATE RADIO,,THE CHICKASAW NATION,Rock,
102.7,K274AJ,BARTLESVILLE,OK,NDIR,0.25,36.743972222222226,95.93052777777778,D,FOUR STATES PUBLIC RADIO,16.0,PITTSBURG STATE UNIVERSITY,News/Classical,
102.7,K274CX,TULSA,OK,NDIR,0.99,36.15730555555555,95.97636111111112,D,LAS AMERICAS 1380 AM 102.7 FM,,RADIO LAS AMERICAS LLC,Spanish Hits,Tulsa
102.9,K275AE,LAWTON,OK,NDIR,0.25,34.60311111111111,98.43475000000001,D,YOUR PUBLIC RADIO STATION,32.0,CAMERON UNIVERSITY,News/Talk/Classical,
102.9,K275CK,MUSKOGEE,OK,NDIR,0.25,35.78286111111111,95.37761111111111,D,THE SPORTS ANIMAL,,"GRUPO TELETUL MULTIMEDIA, LLC",Sports,
103.1,K276DZ,STILLWATER,OK,NDIR,0.25,36.099472222222225,97.02058333333333,D,THE BEAT,9.0,SEABREEZE BROADCASTING,Contemporary Hit Radio,
103.1,K276ET,SEMINOLE,OK,NDIR,0.25,35.24194444444444,96.6363888888889,D,YOUR NPR SOURCE,59.9,THE UNIVERSITY OF OKLAHOMA,News/Talk/Jazz,Oklahoma City
103.1,K276EX,OKLAHOMA CITY,OK,NDIR,0.099,35.547555555555554,97.49197222222222,D,V 103,267.7,"THE LOVE STATION, INC.",Classic Hip-Hop,Oklahoma City
103.1,K276FR,DUNCAN,OK,NDIR,0.115,34.546749999999996,97.94197222222222,D,K-LOVE,,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,
103.3,K277DD,NORMAN,OK,NDIR,0.25,35.22188888888889,97.44183333333334,D,THE FRANCHISE 1560,,"TYLER MEDIA, LLC",Sports,Oklahoma City
103.5,K278AF,PONCA CITY,OK,NDIR,0.25,36.78919444444444,97.0483611111111,D,BIBLE BROADCASTING NETWORK,62.0,"BIBLE BROADCASTING NETWORK, INC.",Religious Teaching,
103.7,K279CR,OKLAHOMA CITY,OK,DRL,0.25,35.56644444444444,97.47475,D,AM 890 KTLR FM 103.7,,TYLER MEDIA L.L.C.,Talk,Oklahoma City
104.1,K281CO,TULSA,OK,NDIR,0.099,36.107055555555554,95.78719444444444,D,LA Z 106.7,,"SCREEN DOOR BROADCASTING, LLC",Regional Mexican,Tulsa
104.1,K281DH,DURANT,OK,NDIR,0.001,33.99619444444445,96.40886111111112,D,MIX 96.1,,PAYNE MEDIA GROUP LLC,Hot AC,
104.5,K283BW,OKLAHOMA CITY,OK,NDIR,0.25,35.547555555555554,97.49197222222222,D,,301.7,"TYLER MEDIA, L.L.C.",Classic Rock,Oklahoma City
104.9,K285FI,MUSKOGEE,OK,NDIR,0.072,35.76872222222222,95.41497222222223,D,AIR1,127.3,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,
104.9,K285GW,TULSA,OK,DRL,0.19,36.107,95.78733333333334,D,QUE BUENA 104.9 & 100.3,,"KEY PLUS BROADCASTING, LLC",Regional Mexican,Tulsa
105.1,K286BB,ADA,OK,NDIR,0.075,34.76425,96.69250000000001,D,THE GOSPEL STATION,148.4,SOUTH CENTRAL OKLAHOMA CHRISTIAN BROADCASTING INC,Southern Gospel,
105.1,K286BZ,SHAWNEE,OK,NDIR,0.14,35.38227777777778,97.01586111111111,D,YOUR NPR SOURCE,,THE UNIVERSITY OF OKLAHOMA,News/Talk/Jazz,Oklahoma City
105.5,K288FQ,LAWTON,OK,NDIR,0.23,34.576750000000004,98.47533333333334,D,SOONER CLASSIC HITS,46.5,FRED R AND EVELYN K MORTON,Classic Hits,
105.5,K288FX,NORTH ENID,OK,NDIR,0.25,36.39919444444445,97.88033333333333,D,K-LOVE,,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,
105.7,K289AU,BARTLESVILLE,OK,NDIR,0.25,36.72730555555556,95.95136111111111,D,THE HOUSE,39.6,"THE LOVE STATION, INC.",Christian CHR + Rock,
105.7,K289CC,TULSA,OK,NDIR,0.25,36.107055555555554,95.78719444444444,D,GROOVY 105.7,,"SCREEN DOOR BROADCASTING, LLC",Oldies,Tulsa
105.9,K290BP,STILLWATER,OK,NDIR,0.25,36.08283333333333,97.05725,D,THE HOUSE,83.0,"THE LOVE STATION, INC.",Christian CHR + Rock,
106.1,K291BR,CHICKASHA,OK,NDIR,0.25,35.04811111111111,97.89033333333334,D,106.1 THE RANCH,130.5,MOLLMAN MEDIA INC.,Country,Oklahoma City
106.1,K291CT,DUNCAN,OK,NDIR,0.25,34.511944444444445,97.96805555555555,D,NEWSTALK 1350,,"MOLLMAN MEDIA, INC.",Talk,
106.3,K292FJ,STILLWATER,OK,NDIR,0.25,36.18894444444444,97.06030555555556,D,K-LOVE,44.2,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,
106.3,K292HF,OKMULGEE,OK,NDIR,0.25,35.60872222222223,95.97194444444445,D,1240 THE BREW,,"THIRD DAY BROADCASTING, INC.",Classic Hits,
106.5,K293AP,SAND SPRINGS,OK,NDIR,0.205,36.11563888888889,96.0175,D,AIR1,81.2,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,Tulsa
106.5,K293BO,LAWTON,OK,NDIR,0.17,34.60758333333334,98.27422222222222,D,BOTT RADIO NETWORK,,"COMMUNITY BROADCASTING, INC.",Religious Teaching,
106.9,K295BL,CHICKASHA,OK,NDIR,0.25,35.03,97.95608333333334,D,YOUR NPR SOURCE,28.5,THE UNIVERSITY OF OKLAHOMA,News/Talk/Jazz,Oklahoma City
99.3,KADA-FM,ADA,OK,NDIR,5.5,34.70869444444445,96.74027777777778,A,Cool 99.3,84.2,THE CHICKASAW NATION,Rock,
107.1,K296HC,EL RENO,OK,NDIR,0.25,35.596444444444444,97.95477777777778,D,BOTT RADIO NETWORK,,BOTT BROADCASTING COMPANY,Religious Teaching,Oklahoma City
107.3,K297AQ,BIXBY,OK,NDIR,0.095,36.07369444444445,95.90302777777778,D,OKLAHOMA PUBLIC RADIO,89.1,OKLAHOMA STATE UNIVERSITY,News/Talk/Adult Alternative,Tulsa
107.3,K297AZ,STILLWATER,OK,NDIR,0.2,36.08283333333333,97.05725,D,MY PRAISE FM,87.0,"THE LOVE STATION, INC.",Contemporary Christian,
107.3,K297BB,EDMOND,OK,DRL,0.19,35.57172222222223,97.4858611111111,D,THE GOSPEL STATION,,"RUSSELL MINISTRIES, INC",Southern Gospel,Oklahoma City
107.5,K298AR,MCALESTER,OK,NDIR,0.25,34.933416666666666,95.76969444444444,D,K-FOX 102.5,,"K95.5, INC.",Country,
107.5,K298CR,ARDMORE,OK,NDIR,0.25,34.182027777777776,97.14669444444445,D,107.5FM 1240AM THE SPORTS ANIMAL,,"SMG-ARDMORE, LLC",Sports,
107.9,K300CY,TULSA,OK,NDIR,0.25,36.107055555555554,95.78719444444444,D,RITMO 107.9,,TYLER MEDIA L.L.C.,Contemporary Hit Radio,Tulsa
98.5,KACO,APACHE,OK,NDIR,18.5,34.94172222222222,98.37616666666666,C3,NEW COUNTRY 98.5,93.0,"MOLLMAN MEDIA, INC.",Country,
88.7,KAJT,ADA,OK,NDIR,31.0,34.775638888888885,96.58777777777777,C2,THE SONLIFE RADIO NETWORK,73.0,"FAMILY WORSHIP CENTER CHURCH, INC.",Religious Teaching,
91.3,KAKO,ADA,OK,DRL,100.0,35.22675,96.9286388888889,C1,AMERICAN FAMILY RADIO,,AMERICAN FAMILY ASSOCIATION,Religious Teaching,Oklahoma City
89.3,KALU,LANGSTON,OK,NDIR,0.15,35.94338888888888,97.25919444444445,A,LANGSTON UNIVERSITY'S VOICE OF DIVERSITY,61.0,LANGSTON UNIVERSITY,Urban Contemporary,Oklahoma City
91.7,KARG,POTEAU,OK,NDIR,2.5,35.071472222222226,94.67994444444444,C2,AMERICAN FAMILY RADIO,569.0,AMERICAN FAMILY ASSOCIATION,Religious Teaching,Ft. Smith
88.9,KARU,CACHE,OK,NDIR,0.44,34.63619444444444,98.69255555555556,A,AIR1,,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,
100.5,KATT-FM,OKLAHOMA CITY,OK,NDIR,31.0,35.56033333333333,97.48558333333334,C1,"ROCK 100.5 FM, THE KATT",470.0,Cumulus Media,Rock,Oklahoma City
